time,temp,conv,temp_curve_time,temp_curve_temp,temp_rand_period,temp_rand_std,temp_noise0,temp_noise1,temp_noise2,temp_noise3
0,131.11571438778333,26.555785719389167,0.0,100.0,10000.0,30.0,23.995376946099565,-0.5011412641696413,5.537941015516957,2.0835376903364384
50,133.27516404882,26.663758202441,7200.0,300.0,4000.0,15.0,23.989011852164623,-0.5700732756752278,5.861198191306744,2.6061383921349686
100,134.9180715854797,26.745903579273985,14400.0,300.0,1000.0,8.0,23.97764008758232,-0.7055164493046493,6.564064433418009,2.304105736006267
150,135.38474438529778,26.769237219264888,,,400.0,2.0,23.957661484214306,-0.9053377593996688,7.691481978896153,0.4742720149203058
200,136.1485921928922,26.80742960964461,,,,,23.935448068339422,-1.1652666502464921,9.19819888626807,-1.3753436670243597
250,138.71782720633405,26.935891360316703,,,,,23.90872146429506,-1.4725042641262824,10.930712840949582,-1.593547279228746
300,142.42275359218556,27.121137679609276,,,,,23.878788360668224,-1.8253876864903305,12.657865463876963,-0.6218458792026262
350,145.48131230745355,27.274065615372677,,,,,23.842313452420377,-2.211745987769696,14.137558253154376,-0.009035632573719199
400,147.18187537776333,27.359093768888165,,,,,23.79583066393587,-2.625877342776997,15.152104933976322,-0.2512939884829756
450,148.27036842375958,27.41351842118798,,,,,23.745946047839837,-3.0548782361487916,15.544023541148398,-0.46472292907983415
500,149.17409671158464,27.458704835579233,,,,,23.691922972177025,-3.489069985048057,15.237547598586659,-0.15519276301990848
550,149.96298168281498,27.49814908414075,,,,,23.627854872720818,-3.9227915861703564,14.274358414623995,0.7057822038627215
600,150.90556540067956,27.54527827003398,,,,,23.556436703482028,-4.344165352764682,12.824488984418785,2.202138398876761
650,151.7576718062401,27.587883590312003,,,,,23.48110722030675,-4.751357217975045,11.177161834890473,3.7952044134623684
700,152.07923637173948,27.603961818586974,,,,,23.399302257262356,-5.1349461294548036,9.692374649721282,4.678061149766205
750,151.581854450825,27.57909272254125,,,,,23.317038793738526,-5.487530163059928,8.714670452886784,4.204342033926282
800,150.2909493997646,27.51454746998823,,,,,23.22560347692595,-5.806703732840793,8.463750112040842,2.186077321416351
850,148.93599893437863,27.446799946718933,,,,,23.129894580750815,-6.092301286461021,8.940601995137119,-0.6533074661593936
900,149.14226730787004,27.457113365393504,,,,,23.0248787982412,-6.338809309145473,9.873934536473275,-2.4177367176989812
950,151.88283249889847,27.594141624944925,,,,,22.914625545859707,-6.548100919161105,10.778025295098008,-1.6506063117870442
1000,155.00204897996224,27.750102448998113,,,,,22.800459205014377,-6.719740828184991,11.11672337992202,0.02682944543308874
1050,155.9171443330814,27.79585721665407,,,,,22.678580698739903,-6.851007319669571,10.519888268609435,0.40301601873501125
1100,155.41668885466154,27.770834442733076,,,,,22.55289163139392,-6.9441673476251005,8.956915997705913,0.29549301763127056
1150,154.77782353761677,27.738891176880838,,,,,22.4214544034798,-6.998384409664265,6.761651760719898,0.6486573386368719
1200,153.28215622968017,27.66410781148401,,,,,22.28380134893792,-7.014122557384672,4.493323447829603,0.1858206569640068
1250,150.99883206181826,27.549941603090915,,,,,22.136326327615247,-6.989148211686608,2.7013415969985846,-1.5719098733312047
1300,149.85055910134102,27.49252795506705,,,,,21.985256344674465,-6.924361636709019,1.7257270137287462,-3.04717373146429
1350,151.44362650482955,27.572181325241477,,,,,21.827942059238644,-6.819929181910244,1.6083103077502812,-2.6726966802491074
1400,155.58524742818858,27.77926237140943,,,,,21.66604172653623,-6.669188536126054,2.140911618673229,-0.44140626978368425
1450,160.34493680248463,28.01724684012423,,,,,21.49915311215837,-6.474499375807588,2.9710562513787835,2.0714490369772736
1500,163.44493565213713,28.172246782606855,,,,,21.323555599852916,-6.231256875492696,3.71194538940792,2.974024871702344
1550,164.2409524882376,28.21204762441188,,,,,21.145577979225337,-5.937326495687181,4.025894838899642,1.9512506102443097
1600,164.4634008610993,28.223170043054964,,,,,20.956225824094574,-5.588949054841845,3.703491802523218,0.9481878448788598
1650,164.9732435050716,28.24866217525358,,,,,20.76427948169631,-5.184080178518173,2.7443795465345833,0.8153313220255485
1700,164.98237457903207,28.249118728951604,,,,,20.568479663771903,-4.725806072181863,1.3871628563429648,0.5303159088768288
1750,165.03718357072282,28.251859178536144,,,,,20.367441386903312,-4.2075466959710806,0.05789848478788093,0.208279283891582
1800,165.69156346892584,28.28457817344629,,,,,20.16038583374268,-3.6268555238582936,-0.7888526662973154,-0.05311417466122903
1850,166.4422860527741,28.322114302638706,,,,,19.9456577794673,-2.989465046734898,-0.854939020042619,-1.0478565488045721
1900,168.18123576348754,28.409061788174377,,,,,19.729753826662964,-2.289869869282339,-0.12116717641510016,-1.9152587952557618
1950,172.0445832078573,28.602229160392866,,,,,19.506609998975684,-1.5349250948070046,1.1610961247992542,-1.254864487777295
2000,176.9232824852771,28.846164124263858,,,,,19.277423303778512,-0.7283530803114928,2.5794557112890377,0.23920099496550395
2050,181.08409164041709,29.054204582020855,,,,,19.042142500662298,0.1270015194153833,3.7339039529618847,1.2365992229330622
2100,183.77997093777935,29.188998546888968,,,,,18.80274288115614,1.024794024009253,4.373653013121895,1.2454476861587431
2150,185.4554140187625,29.272770700938125,,,,,18.558073354054258,1.9597689943729328,4.46236287173318,0.7529865763798971
2200,187.61480609348044,29.38074030467402,,,,,18.308665411212086,2.9236262620080185,4.145989696688816,1.1254136124604286
2250,190.88702962383556,29.54435148119178,,,,,18.053418402870484,3.906120163496439,3.6483411833381396,2.779149874130508
2300,194.59802238963664,29.72990111948183,,,,,17.79406456963717,4.901139029826439,3.13754823983166,4.876381661452484
2350,197.47415924150604,29.8737079620753,,,,,17.532704096250352,5.893536313542459,2.657925468538342,6.112215585397143
2400,198.98121191621067,29.949060595810536,,,,,17.268922344801016,6.878196658311717,2.15728492756053,6.0101413188707475
2450,200.0605101529015,30.003025507645077,,,,,16.99754214819322,7.84206041643284,1.6009120487323056,5.5644399839875724
2500,201.46920485437172,30.07346024271859,,,,,16.723135719963498,8.776127854869571,1.0849993698129492,5.440497465281262
2550,202.82326311427892,30.141163155713947,,,,,16.442463394285866,9.668337127335402,0.8626128830818809,5.016516376242443
2600,203.70864835218728,30.185432417609363,,,,,16.158789011577415,10.51185941246492,1.2181201617105826,3.597657544212127
2650,204.70412737988806,30.235206368994405,,,,,15.869447580190862,11.296794235568937,2.291188309908593,1.6355861431085799
2700,206.68073132345182,30.334036566172593,,,,,15.573866420913719,12.014027062487575,3.9500419530060618,0.1427958870444569
2750,209.45210630774002,30.472605315387,,,,,15.274067434432377,12.658182663273102,5.841893529895752,-0.7109262087500696
2800,212.42227690328644,30.621113845164324,,,,,14.97167326201795,13.217105336586407,7.581820166372685,-1.1260996394683713
2850,215.5136215247732,30.775681076238662,,,,,14.668956418690154,13.696167869181927,8.957954883519802,-0.9761243132853108
2900,218.30329598996224,30.915164799498115,,,,,14.359424535245601,14.086503580441711,9.99920654479654,-0.6973942260771582
2950,220.37719182630846,31.018859591315426,,,,,14.045686697869272,14.388096129938484,10.865593544083946,-0.8666289900276554
3000,222.2740402476807,31.113702012384035,,,,,13.731025557517443,14.600274403211177,11.640834110895172,-1.031427157276464
